"","trt","days","yvar","SE","df","LCL","UCL","tvar","xvar"
"1","Apivar",0,8.98536688497111,2.00652712624338,Inf,5.80034116725298,13.9193222828601,"Apivar","0"
"2","Apiguard_Api",0,9.10841106336616,1.86791647619623,Inf,6.09370768591163,13.6145605229897,"Apiguard_Api","0"
"3","AEC",0,10.5419702377245,2.09507891542613,Inf,7.14095991208716,15.5627727730215,"AEC","0"
"4","Apivar",21,1.7526408853132,0.436640789329758,Inf,1.07554972181033,2.8559814675059,"Apivar","21"
"5","Apiguard_Api",21,0.905656793489135,0.230969753409798,Inf,0.549391105908049,1.49295141252305,"Apiguard_Api","21"
"6","AEC",21,0.306015470698133,0.0976794694784715,Inf,0.163697373223477,0.572064575396433,"AEC","21"
"7","Apivar",42,2.80238623561682,0.71612513553897,Inf,1.69828639010145,4.62428990737275,"Apivar","42"
"8","Apiguard_Api",42,1.8543754884533,0.451318966863647,Inf,1.15088454933002,2.98788306279567,"Apiguard_Api","42"
"9","AEC",42,3.79786511764318,0.789349961508745,Inf,2.52711748322508,5.70760146592132,"AEC","42"
